"","SeqId","TargetFullName","Target","UniProt","EntrezGeneSymbol","Units","Dilution","PlateScale_Reference","c"
"58","10366-11","Platelet-derived growth factor receptor alpha","PDGFRA","P16234","PDGFRA","RFU",20,"1694.0","PDGFRA.10366.11"
"59","10367-62","Interleukin-12","IL-12","P29459 P29460","IL12A IL12B","RFU",20,"206.6","IL12A.IL12B.10367.62"
"60","10370-21","Signal transducer and activator of transcription 1-alpha/beta","STAT1","P42224","STAT1","RFU",20,"382.5","STAT1.10370.21"
"61","10372-18","Signal transducer and activator of transcription 6","STAT6","P42226","STAT6","RFU",20,"2325.7","STAT6.10372.18"
"62","10390-21","E3 ubiquitin-protein ligase ZNRF3","ZNRF3","Q9ULT6","ZNRF3","RFU",20,"532.4","ZNRF3.10390.21"
"63","10391-1","Angiopoietin-related protein 3","ANGL3","Q9Y5C1","ANGPTL3","RFU",0.005,"1025.3","ANGPTL3.10391.1"
"64","10396-6","Induced myeloid leukemia cell differentiation protein Mcl-1","Mcl-1","Q07820","MCL1","RFU",20,"223.2","MCL1.10396.6"
"66","10418-36","Syntaxin-12","STX12","Q86Y82","STX12","RFU",20,"1737.6","STX12.10418.36"
"67","10419-1","Scavenger receptor class A member 5","SCAR5","Q6ZMJ2","SCARA5","RFU",20,"5784.7","SCARA5.10419.1"
"68","10424-31","Neural proliferation differentiation and control protein 1","NPDC1","Q9NQX5","NPDC1","RFU",20,"494.2","NPDC1.10424.31"
"69","10425-3","Beta-1,4-galactosyltransferase 5","B4GT5","O43286","B4GALT5","RFU",20,"545.3","B4GALT5.10425.3"
"71","10428-1","Killer cell immunoglobulin-like receptor 2DS2","KI2S2","P43631","KIR2DS2","RFU",20,"2267.2","KIR2DS2.10428.1"
"72","10430-31","4F2 cell-surface antigen heavy chain","4F2","P08195","SLC3A2","RFU",20,"156.1","SLC3A2.10430.31"
"73","10432-3","Uncharacterized protein KIAA1644","K1644","Q3SXP7","KIAA1644","RFU",20,"136.7","KIAA1644.10432.3"
"74","10435-2","N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase","ASPG","P20933","AGA","RFU",20,"656.9","AGA.10435.2"
"75","10438-19","Granulocyte-macrophage colony-stimulating factor receptor subunit alpha","CSF2R","P15509","CSF2RA","RFU",0.5,"1074.2","CSF2RA.10438.19"
"76","10440-26","CXADR-like membrane protein","ACAM","Q9H6B4","CLMP","RFU",20,"1118.3","CLMP.10440.26"
"77","10442-1","Transmembrane protein 190","TM190","Q8WZ59","TMEM190","RFU",20,"264.3","TMEM190.10442.1"
"78","10445-20","Apolipoprotein M","ApoM","O95445","APOM","RFU",0.005,"984.1","APOM.10445.20"
"79","10447-18","Polyadenylate-binding protein 3","PABP3","Q9H361","PABPC3","RFU",20,"2321.9","PABPC3.10447.18"
"80","10451-11","Nucleobindin-1","NUCB1","Q02818","NUCB1","RFU",0.5,"2384.2","NUCB1.10451.11"
"81","10453-7","Carcinoembryonic antigen-related cell adhesion molecule 20","CEA20","Q6UY09","CEACAM20","RFU",20,"119.4","CEACAM20.10453.7"
"82","10454-99","DnaJ homolog subfamily C member 16","DJC16","Q9Y2G8","DNAJC16","RFU",20,"158.3","DNAJC16.10454.99"
"83","10455-196","Interleukin-31","IL-31","Q6EBC2","IL31","RFU",20,"493.0","IL31.10455.196"
"85","10462-14","Insulin-like peptide INSL5","INSL5","Q9Y5Q6","INSL5","RFU",20,"341.7","INSL5.10462.14"
"86","10464-6","Anthrax toxin receptor 1","ANTR1","Q9H6X2","ANTXR1","RFU",20,"1557.7","ANTXR1.10464.6"
"91","10490-3","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1","RPN1","P04843","RPN1","RFU",20,"4658.1","RPN1.10490.3"
"94","10496-11","Calcium-activated chloride channel regulator 1","CaCC","A8K7I4","CLCA1","RFU",20,"888.3","CLCA1.10496.11"
"96","10499-1","Transmembrane protein 106A","T106A","Q96A25","TMEM106A","RFU",20,"192.5","TMEM106A.10499.1"
"100","10506-53","Membrane-associated progesterone receptor component 2","PGRC2","O15173","PGRMC2","RFU",20,"1009.6","PGRMC2.10506.53"
"101","10507-166","Acrosomal protein SP-10","sperm protein 10","P26436","ACRV1","RFU",20,"214.0","ACRV1.10507.166"
"102","10510-62","SLP adapter and CSK-interacting membrane protein","SCIMP","Q6UWF3","SCIMP","RFU",20,"164.8","SCIMP.10510.62"
"103","10512-13","Cytokine receptor common subunit beta","IL3RB","P32927","CSF2RB","RFU",20,"241.1","CSF2RB.10512.13"
"104","10513-13","Calsenilin","CSEN","Q9Y2W7","KCNIP3","RFU",20,"941.9","KCNIP3.10513.13"
"105","10514-5","Prostaglandin-H2 D-isomerase","PGD2 synthase","P41222","PTGDS","RFU",0.5,"14892.2","PTGDS.10514.5"
"108","10521-10","Matrix-remodeling-associated protein 8","MXRA8","Q9BRK3","MXRA8","RFU",0.5,"446.4","MXRA8.10521.10"
"109","10527-22","ATP-dependent RNA helicase A","DHX9","Q08211","DHX9","RFU",20,"317.4","DHX9.10527.22"
"111","10530-8","Proteasome subunit beta type-6","PSB6","P28072","PSMB6","RFU",20,"343.7","PSMB6.10530.8"
"112","10531-18","GTPase NRas","RASN","P01111","NRAS","RFU",20,"2593.4","NRAS.10531.18"
"114","10534-40","Poly [ADP-ribose] polymerase 1","PARP","P09874","PARP1","RFU",20,"219.6","PARP1.10534.40"
"115","10539-30","CD99 antigen-like protein 2","C99L2","Q8TCZ2","CD99L2","RFU",20,"528.5","CD99L2.10539.30"
"116","10546-2","Thrombospondin-type laminin G domain and EAR repeat-containing protein","TSEAR","Q8WU66","TSPEAR","RFU",20,"816.1","TSPEAR.10546.2"
"119","10550-37","Bone morphogenetic protein receptor type-1B","BMP RIB","O00238","BMPR1B","RFU",20,"411.8","BMPR1B.10550.37"
"120","10551-7","Linker for activation of T-cells family member 1","LAT","O43561","LAT","RFU",20,"7315.5","LAT.10551.7"
"121","10552-88","NKG2-F type II integral membrane protein","NKG2F","O43908","KLRC4","RFU",20,"466.2","KLRC4.10552.88"
"122","10553-8","Torsin-1A-interacting protein 2","TOIP2","Q8NFQ8","TOR1AIP2","RFU",20,"2086.0","TOR1AIP2.10553.8"
"123","10557-6","Testis-expressed sequence 29 protein","TEX29","Q8N6K0","TEX29","RFU",0.5,"1591.1","TEX29.10557.6"
"124","10558-26","Protocadherin-9","PCDH9","Q9HC56","PCDH9","RFU",20,"4335.3","PCDH9.10558.26"
"125","10560-1","Integral membrane protein 2C","ITM2C","Q9NQX7","ITM2C","RFU",20,"242.8","ITM2C.10560.1"
"126","10561-5","Peptidoglycan recognition protein 3","PGRP-I-alpha","Q96LB9","PGLYRP3","RFU",20,"594.9","PGLYRP3.10561.5"
"127","10563-13","LysM and putative peptidoglycan-binding domain-containing protein 3","LYSM3","Q7Z3D4","LYSMD3","RFU",20,"139.5","LYSMD3.10563.13"
"128","10565-19","SLIT and NTRK-like protein 3","SLIK3","O94933","SLITRK3","RFU",20,"4382.9","SLITRK3.10565.19"
"129","10569-28","Microfibrillar-associated protein 2","MFAP2","P55001","MFAP2","RFU",0.5,"832.6","MFAP2.10569.28"
"130","10571-14","Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase","MGAT1","P26572","MGAT1","RFU",20,"648.8","MGAT1.10571.14"
"131","10572-65","Cystatin-8","CST8","O60676","CST8","RFU",20,"10861.1","CST8.10572.65"
"132","10574-10","Beta-2-microglobulin","b2-Microglobulin","P61769","B2M","RFU",20,"4975.0","B2M.10574.10"
"133","10575-31","Poly(U)-binding-splicing factor PUF60","PUF60","Q9UHX1","PUF60","RFU",20,"5016.0","PUF60.10575.31"
"134","10580-14","Surfactant-associated protein 2","SFTA2","Q6UW10","SFTA2","RFU",20,"399.7","SFTA2.10580.14"
"135","10582-36","Protein O-mannose kinase","SG196","Q9H5K3","POMK","RFU",20,"310.2","POMK.10582.36"
"136","10583-1","Transmembrane protein 108","TM108","Q6UXF1","TMEM108","RFU",20,"260.5","TMEM108.10583.1"
"137","10584-7","NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial","NDUS4","O43181","NDUFS4","RFU",20,"4270.0","NDUFS4.10584.7"
"138","10588-39","Lactosylceramide alpha-2,3-sialyltransferase","SIAT9","Q9UNP4","ST3GAL5","RFU",20,"394.6","ST3GAL5.10588.39"
"139","10589-7","Retinoic acid early transcript 1L protein","RET1L","Q5VY80","RAET1L","RFU",20,"657.5","RAET1L.10589.7"
"140","10603-1","Histatin-3","HIS3","P15516","HTN3","RFU",20,"1734.9","HTN3.10603.1"
"141","10605-22","Adipocyte plasma membrane-associated protein","APMAP","Q9HDC9","APMAP","RFU",20,"147.1","APMAP.10605.22"
"142","10606-34","Torsin-1A-interacting protein 1","TOIP1","Q5JTV8","TOR1AIP1","RFU",20,"4819.8","TOR1AIP1.10606.34"
"143","10608-9","Histatin-1","HIS1","P15515","HTN1","RFU",20,"562.8","HTN1.10608.9"
"145","10612-18","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3","PLOD3","O60568","PLOD3","RFU",0.5,"2001.4","PLOD3.10612.18"
"146","10613-33","Protein CASC4","CASC4","Q6P4E1","CASC4","RFU",20,"1797.9","CASC4.10613.33"
"147","10615-18","Myelin protein P0","MYP0","P25189","MPZ","RFU",20,"1909.4","MPZ.10615.18"
"148","10616-67","Podocalyxin-like protein 2","PDXL2","Q9NZ53","PODXL2","RFU",20,"418.6","PODXL2.10616.67"
"149","10618-190","Low-density lipoprotein receptor-related protein 2","megalin","P98164","LRP2","RFU",20,"1447.6","LRP2.10618.190"
"150","10620-21","Beta-microseminoprotein","PSP-94","P08118","MSMB","RFU",20,"9639.8","MSMB.10620.21"
"151","10621-26","Protein Largen","PRR16","Q569H4","PRR16","RFU",20,"415.5","PRR16.10621.26"
"152","10623-19","Mucin-1","MUC1","P15941","MUC1","RFU",20,"423.8","MUC1.10623.19"
"154","10627-87","Amyloid-like protein 2","APLP2","Q06481","APLP2","RFU",0.5,"984.4","APLP2.10627.87"
"155","10630-5","Oxidoreductase HTATIP2","HTAI2","Q9BUP3","HTATIP2","RFU",20,"2780.5","HTATIP2.10630.5"
"156","10637-50","UPF0577 protein KIAA1324","K1324","Q6UXG2","KIAA1324","RFU",20,"222.4","KIAA1324.10637.50"
"157","10638-1","TERF1-interacting nuclear factor 2","TINF2","Q9BSI4","TINF2","RFU",20,"180.0","TINF2.10638.1"
"160","10643-16","Noelin-3","NOE3","Q96PB7","OLFM3","RFU",20,"1628.8","OLFM3.10643.16"
"162","10647-18","Activating signal cointegrator 1 complex subunit 1","ASCC1","Q8N9N2","ASCC1","RFU",0.5,"1484.6","ASCC1.10647.18"
"166","10663-42","Insulin-induced gene 1 protein","INSI1","O15503","INSIG1","RFU",20,"319.5","INSIG1.10663.42"
"168","10666-7","N-acetylglucosamine-1-phosphotransferase subunit gamma","GNPTG","Q9UJJ9","GNPTG","RFU",0.005,"660.9","GNPTG.10666.7"
"169","10667-78","Uncharacterized protein C1orf185","CA185","Q5T7R7","C1orf185","RFU",20,"151.1","C1orf185.10667.78"
"170","10668-5","Syntaxin-4","STX4","Q12846","STX4","RFU",20,"703.4","STX4.10668.5"
"172","10672-75","Pulmonary surfactant-associated protein B","SP-B","P07988","SFTPB","RFU",20,"341.0","SFTPB.10672.75"
"174","10693-43","Killer cell lectin-like receptor subfamily G member 2","KLRG2","A4D1S0","KLRG2","RFU",20,"2036.4","KLRG2.10693.43"
"175","10695-12","Protein WFDC10B","WF10B","Q8IUB3","WFDC10B","RFU",20,"341.9","WFDC10B.10695.12"
"176","10699-52","Prolow-density lipoprotein receptor-related protein 1","LRP1","Q07954","LRP1","RFU",20,"295.2","LRP1.10699.52"
"177","10700-10","Immunoglobulin superfamily member 11","IGS11","Q5DX21","IGSF11","RFU",20,"1374.0","IGSF11.10700.10"
"179","10702-1","Collagen alpha-1(XXVIII) chain","COSA1","Q2UY09","COL28A1","RFU",0.5,"4057.7","COL28A1.10702.1"
"180","10703-203","Sin3 histone deacetylase corepressor complex component SDS3","SDS3","Q9H7L9","SUDS3","RFU",20,"576.4","SUDS3.10703.203"
"181","10704-91","Lymphoid-restricted membrane protein","LRMP","Q12912","LRMP","RFU",20,"581.7","LRMP.10704.91"
"182","10705-14","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3","SIA7C","Q8NDV1","ST6GALNAC3","RFU",20,"211.1","ST6GALNAC3.10705.14"
"183","10708-3","Progonadoliberin-2","GON2","O43555","GNRH2","RFU",20,"267.8","GNRH2.10708.3"
"184","10710-23","Zona pellucida-binding protein 2","ZPBP2","Q6X784","ZPBP2","RFU",20,"78.5","ZPBP2.10710.23"
"185","10713-151","CMRF35-like molecule 7","CLM7","A8K4G0","CD300LB","RFU",20,"135.8","CD300LB.10713.151"
"186","10714-7","Angiotensin-converting enzyme","ACE","P12821","ACE","RFU",0.5,"898.5","ACE.10714.7"
"187","10716-35","26S proteasome non-ATPase regulatory subunit 5","PSMD5","Q16401","PSMD5","RFU",20,"720.3","PSMD5.10716.35"
"188","10721-76","Heat shock 70 kDa protein 1A","HSP 70","P0DMV8","HSPA1A","RFU",20,"10674.8","HSPA1A.10721.76"
"190","10731-10","Heparan sulfate glucosamine 3-O-sulfotransferase 5","HS3S5","Q8IZT8","HS3ST5","RFU",0.5,"1260.4","HS3ST5.10731.10"
"191","10737-96","Leukocyte elastase inhibitor","Serpin B1","P30740","SERPINB1","RFU",20,"4106.4","SERPINB1.10737.96"
"192","10748-216","Protocadherin beta-2","PCDB2","Q9Y5E7","PCDHB2","RFU",20,"839.7","PCDHB2.10748.216"
"193","10749-18","Heat shock 70 kDa protein 1A","HSP 70","P0DMV8","HSPA1A","RFU",20,"3875.0","HSPA1A.10749.18"
"194","10753-31","Disintegrin and metalloproteinase domain-containing protein 7","ADAM7","Q9H2U9","ADAM7","RFU",20,"1474.6","ADAM7.10753.31"
"195","10754-113","Prokineticin-2","Prokineticin-2","Q9HC23","PROK2","RFU",20,"3055.1","PROK2.10754.113"
"196","10756-34","Urocortin-3","UCN3","Q969E3","UCN3","RFU",20,"972.3","UCN3.10756.34"
"197","10758-2","Keratocan","KERA","O60938","KERA","RFU",20,"2399.3","KERA.10758.2"
"198","10761-5","Transmembrane emp24 domain-containing protein 2","TMED2","Q15363","TMED2","RFU",20,"563.4","TMED2.10761.5"
"199","10762-2","Killer cell lectin-like receptor subfamily G member 2","KLRG2","A4D1S0","KLRG2","RFU",20,"845.0","KLRG2.10762.2"
"200","10767-52","G-protein coupled receptor 64","GPR64","Q8IZP9","GPR64","RFU",20,"735.3","GPR64.10767.52"
"201","10772-21","Chondroitin sulfate N-acetylgalactosaminyltransferase 2","CGAT2","Q8N6G5","CSGALNACT2","RFU",20,"294.9","CSGALNACT2.10772.21"
"202","10781-19","C-type lectin domain family 4 member G","CLC4G","Q6UXB4","CLEC4G","RFU",0.5,"4462.1","CLEC4G.10781.19"
"203","10785-8","Leucine-rich repeat-containing protein 52","LRC52","Q8N7C0","LRRC52","RFU",20,"703.4","LRRC52.10785.8"
"205","10798-4","CMRF35-like molecule 2","CLM2","Q496F6","CD300E","RFU",20,"564.8","CD300E.10798.4"
"206","10800-15","Serpin H1","Collagen-binding protein","P50454","SERPINH1","RFU",20,"675.9","SERPINH1.10800.15"
"207","10803-22","Heat shock 70 kDa protein 1A","HSP 70","P0DMV8","HSPA1A","RFU",20,"3606.3","HSPA1A.10803.22"
"208","10809-14","Killer cell lectin-like receptor subfamily B member 1","KLRB1","Q12918","KLRB1","RFU",20,"395.0","KLRB1.10809.14"
"209","10814-7","T-cell surface glycoprotein CD1a","CD1A","P06126","CD1A","RFU",20,"945.8","CD1A.10814.7"
"210","10815-2","Intracellular hyaluronan-binding protein 4","HABP4","Q5JVS0","HABP4","RFU",20,"290.7","HABP4.10815.2"
"211","10816-150","Paired immunoglobulin-like type 2 receptor alpha isoform FDF03-M14","PILRA isoform FDF03-M14","Q9UKJ1","PILRA","RFU",20,"1966.7","PILRA.10816.150"
"212","10818-36","Sphingomyelin phosphodiesterase","ASM","P17405","SMPD1","RFU",0.5,"1460.2","SMPD1.10818.36"
"214","10825-12","V-set and immunoglobulin domain-containing protein 10","VSI10","Q8N0Z9","VSIG10","RFU",20,"891.8","VSIG10.10825.12"
"215","10830-5","EF-hand calcium-binding domain-containing protein 14","K0494","O75071","EFCAB14","RFU",20,"381.1","EFCAB14.10830.5"
"216","10832-24","Beta-1,4-galactosyltransferase 6","B4GT6","Q9UBX8","B4GALT6","RFU",20,"1268.5","B4GALT6.10832.24"
"217","10833-64","Hedgehog-interacting protein","HHIP","Q96QV1","HHIP","RFU",0.5,"776.1","HHIP.10833.64"
"218","10835-25","Alpha-1,4-N-acetylglucosaminyltransferase","A4GCT","Q9UNA3","A4GNT","RFU",20,"2502.9","A4GNT.10835.25"
"219","10842-7","Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4","GCNT4","Q9P109","GCNT4","RFU",20,"504.6","GCNT4.10842.7"
"220","10847-1","Sialic acid-binding Ig-like lectin 15","SIG15","Q6ZMC9","SIGLEC15","RFU",20,"1069.6","SIGLEC15.10847.1"
"221","10848-137","Butyrophilin-like protein 3","BTNL3","Q6UXE8","BTNL3","RFU",20,"417.8","BTNL3.10848.137"
"222","10851-77","Interleukin-27 subunit beta","IL27B","Q14213","EBI3","RFU",20,"16488.4","EBI3.10851.77"
"223","10852-114","Heterogeneous nuclear ribonucleoprotein D-like","HNRDL","O14979","HNRNPDL","RFU",20,"4250.4","HNRNPDL.10852.114"
"224","10866-60","Serine/threonine-protein phosphatase 4 regulatory subunit 3A","P4R3A","Q6IN85","SMEK1","RFU",20,"12391.2","SMEK1.10866.60"
"225","10876-300","BRCA1-associated ATM activator 1","BRAT1","Q6PJG6","BRAT1","RFU",20,"854.0","BRAT1.10876.300"
"226","10880-38","Protein FAM163B","F163B","P0C2L3","FAM163B","RFU",20,"2007.2","FAM163B.10880.38"
"227","10882-12","Desmocollin-1","Desmocollin-1","Q08554","DSC1","RFU",20,"857.0","DSC1.10882.12"
"228","10885-36","Bombesin receptor-activated protein C6orf89","CF089","Q6UWU4","C6orf89","RFU",20,"1401.5","C6orf89.10885.36"
"230","10889-2","Melanocortin-2 receptor accessory protein 2","MRAP2","Q96G30","MRAP2","RFU",20,"1230.9","MRAP2.10889.2"
"231","10890-135","Lactase-like protein","LCTL","Q6UWM7","LCTL","RFU",20,"867.1","LCTL.10890.135"
"232","10892-8","Oncostatin-M-specific receptor subunit beta","OSMR","Q99650","OSMR","RFU",20,"3929.9","OSMR.10892.8"
"233","10895-28","Transmembrane protease serine 11B","TM11B","Q86T26","TMPRSS11B","RFU",20,"2990.4","TMPRSS11B.10895.28"
"234","10900-272","Stathmin-2","STMN2","Q93045","STMN2","RFU",20,"1132.2","STMN2.10900.272"
"236","10903-50","Syntaxin-8","STX8","Q9UNK0","STX8","RFU",20,"1488.5","STX8.10903.50"
"237","10907-116","Neurotrimin","NTRI","Q9P121","NTM","RFU",20,"12803.6","NTM.10907.116"
"238","10908-2","Polypeptide N-acetylgalactosaminyltransferase 13","GLT13","Q8IUC8","GALNT13","RFU",20,"1079.2","GALNT13.10908.2"
"239","10910-6","Carcinoembryonic antigen-related cell adhesion molecule 4","CEAM4","O75871","CEACAM4","RFU",20,"782.3","CEACAM4.10910.6"
"241","10916-44","Secretory phospholipase A2 receptor","PLA2R","Q13018","PLA2R1","RFU",20,"5067.3","PLA2R1.10916.44"
"242","10917-40","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2","GBGT2","O14610","GNGT2","RFU",20,"393.6","GNGT2.10917.40"
"243","10924-258","Neuferricin","NEUFC","Q8WUJ1","CYB5D2","RFU",20,"76.1","CYB5D2.10924.258"
"245","10933-107","Calcium-binding protein 8","CABP8","Q9BXU9","CALN1","RFU",20,"923.1","CALN1.10933.107"
"246","10938-13","Lymphocyte function-associated antigen 3","sLFA-3","P19256","CD58","RFU",20,"1350.5","CD58.10938.13"
"247","10939-16","Pleckstrin homology domain-containing family A member 4","PKHA4","Q9H4M7","PLEKHA4","RFU",20,"331.8","PLEKHA4.10939.16"
"248","10940-25","Sarcalumenin","SRCA","Q86TD4","SRL","RFU",20,"983.7","SRL.10940.25"
"250","10945-11","Syntaxin-6","Syntaxin-6","O43752","STX6","RFU",20,"2604.4","STX6.10945.11"
"251","10948-14","Phospholipase D3","PLD3","Q8IV08","PLD3","RFU",20,"353.6","PLD3.10948.14"
"252","10949-59","60S acidic ribosomal protein P2","RLA2","P05387","RPLP2","RFU",20,"633.1","RPLP2.10949.59"
"253","10953-14","C-type lectin domain family 2 member A","CLC2A","Q6UVW9","CLEC2A","RFU",20,"808.9","CLEC2A.10953.14"
"254","10955-4","C-type lectin domain family 10 member A","CLC10","Q8IUN9","CLEC10A","RFU",20,"534.8","CLEC10A.10955.4"
"255","10956-82","Glycine cleavage system H protein, mitochondrial","GCSH","P23434","GCSH","RFU",20,"1584.1","GCSH.10956.82"
